Block Type,96well,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\2017_Nutrients\Ssid\Ssid_Plate3_CD.eds,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2018-01-24 12:32:50 PM EST,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOAMP,NOISE,NOSIGNAL,EXPFAIL
A1,NTC,Ssid,UNKNOWN,SYBR,None,6.3653659821,6.3653659821,,,,,0,0.02,1,3,39,,Y,N,N,Y,Y,Y
A2,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y
A2,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y
A3,NTC,Ssid,UNKNOWN,SYBR,None,Undetermined,6.3653659821,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y
A4,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y
A4,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y
A5,Sample 7,Ssid,UNKNOWN,SYBR,None,22.1625480652,22.1672096252,0.0065924414,,,,0,0.02,1,3,20,,N,N,N,N,N,N
A6,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y
A6,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,27.6080684662,27.4240665436,0.2602180243,,,,0,0.02,1,3,25,,N,N,N,N,N,Y
A7,Sample 7,Ssid,UNKNOWN,SYBR,None,22.1718711853,22.1672096252,0.0065924414,,,,0,0.02,1,3,20,,N,N,N,N,N,N
A8,Sample 7,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y
A8,Sample 7,D,UNKNOWN,FAM,NFQ-MGB,27.240064621,27.4240665436,0.2602180243,,,,0,0.02,1,3,25,,N,N,N,N,N,Y
A9,Sample 15,Ssid,UNKNOWN,SYBR,None,22.019493103,22.0939884186,0.1053522825,,,,0,0.02,1,3,20,,N,N,N,N,N,N
A10,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,26.8148498535,27.6619033813,1.1979146004,,,,0,0.02,1,3,25,,N,Y,N,N,N,N
A10,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,38.5395393372,38.5395393372,,,,,0,0.02,1,3,35,,N,Y,N,N,N,N
A11,Sample 15,Ssid,UNKNOWN,SYBR,None,22.1684837341,22.0939884186,0.1053522825,,,,0,0.02,1,3,21,,N,N,N,N,N,N
A12,Sample 15,C,UNKNOWN,VIC,NFQ-MGB,28.5089569092,27.6619033813,1.1979146004,,,,0,0.02,1,3,26,,N,Y,N,N,N,Y
A12,Sample 15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.5395393372,,,,,0,0.02,1,3,39,,N,Y,N,N,N,Y
B1,Sample 1,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,N,N,N,Y
B2,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y
B2,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y
B3,Sample 1,Ssid,UNKNOWN,SYBR,None,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y
B4,Sample 1,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y
B4,Sample 1,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y
B5,Sample 8,Ssid,UNKNOWN,SYBR,None,22.775302887,22.6471939087,0.1811734587,,,,0,0.02,1,3,21,,N,N,N,N,N,N
B6,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,33.605796814,33.605796814,,,,,0,0.02,1,3,28,,N,N,N,N,N,N
B6,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,26.3882961273,26.4486465454,0.085347034,,,,0,0.02,1,3,24,,N,N,N,N,N,N
B7,Sample 8,Ssid,UNKNOWN,SYBR,None,22.5190849304,22.6471939087,0.1811734587,,,,0,0.02,1,3,21,,N,N,N,N,N,N
B8,Sample 8,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,33.605796814,,,,,0,0.02,1,3,39,,N,N,Y,N,N,Y
B8,Sample 8,D,UNKNOWN,FAM,NFQ-MGB,26.5089950562,26.4486465454,0.085347034,,,,0,0.02,1,3,24,,N,N,Y,N,N,Y
B9,Sample 16,Ssid,UNKNOWN,SYBR,None,21.2831344604,21.3438129425,0.0858123302,,,,0,0.02,1,3,20,,N,N,N,N,N,N
B10,Sample 16,C,UNKNOWN,VIC,NFQ-MGB,26.2969284058,26.4992084503,0.2860671878,,,,0,0.02,1,3,24,,N,Y,N,N,N,N
B10,Sample 16,D,UNKNOWN,FAM,NFQ-MGB,32.6174087524,32.1390075684,0.676558733,,,,0,0.02,1,3,31,,N,Y,N,N,N,N
B11,Sample 16,Ssid,UNKNOWN,SYBR,None,21.4044914246,21.3438129425,0.0858123302,,,,0,0.02,1,3,20,,N,N,N,N,N,N
